are you there,"Yes, I'm here for you.",,
stop,"<stop>",,
battery level,"<battery>",,
what is the battery level,"<battery>",,
what is the battery,"<battery>",,
what|how is the battery,"<battery>",,
what|how is the battery level,"<battery>",,
how much battery do I have,"<battery>",,
what|how is ? wifi,"<signal_strength>",,
what|how network ? am ? connected ?, "<signal_strength>",,
? read document ? high quality ? ?,"<ms_ocr>",,
? read ? ? continuous ? ?,"<continuous_ocr>",,
? read ? document,"<google_ocr>",,
read this,"<google_ocr>",,
read this document,"<google_ocr>",,
? read this ?,"<google_ocr>",,
what time is it|now ?,"<time_now>",,
what date|day is it|today ?,"<date_now>",,
what is the time,"<time_now>",,
what is the time ? now|today,"<time_now>",,
what is the time of the day,"<time_now>",,
what ? ? time ? ? ?,"<time_now>",,
? tell me what|the ? ? time ? ?,"<time_now>",,
time,"<time_now>",,
do you have the time,"<time_now>",,
what day is today,"<date_now>",,
what ? ? day|date,"<date_now>",,
what ? ? today,"<date_now>",,
day|date,"<date_now>",,
turn ? ? flashlight ? ? on,"<flashlight_on>",,
turn ? ? on ? ? flashlight,"<flashlight_on>",,
turn ? ? flashlight ? ? off,"<flashlight_off>",,
turn ? ? off ? ? flashlight,"<flashlight_off>",,
is ? ? flashlight ? ? on|off|power|powered|deactivated|activated,"<flashlight_status>",,
what is the flashlight status|state|power|powered,"<flashlight_status>",,
? ? plan|minutes ? ?,"<account_usage>",,
? ? plan|minutes ? ?,"<account_usage>",,
? ? agent ? plan|minutes|minute ? ?,"<account_usage>",,
how many agent call minutes|minute|time|hours do I have this month,"<account_usage>",,
how many ? call minutes|minute|time|hours do I have left ? ?,"<account_usage>",,
how much time|minutes|minute|hour|agent|call|calls do I have left ? ?,"<account_usage>",,
how many minutes do I have left on my account,"<account_usage>",,
what is my account balance,"<account_usage>",,
? account balance ?,"<account_usage>",,
? account ? remaining ?,"<account_usage>",,
how many minutes do I have left|remaining|month,"<account_usage>",,
what minutes do I have left|remaining|month,"<account_usage>",,
how ? ? ? minute|minutes ? ? ? ?,"<account_usage>",,
how many minute|minutes ? ? ? ?,"<account_usage>",,
what version are we on,"<version>",,
what version are you,"<version>",,
what version ? ?,"<version>",,
version,"<version>",,
chloe version,"<version>",,
version number,"<version>",,
chloe version number,"<version>",,

