trigger,response,source_state,dest_state
call ? Aira|agent ? ? ?,<call_agent>,,Call Agent
call * Aira|agent *,<call_agent>,,Call Agent
call ? agent,<call_agent>,,Call Agent
cancel|stop,<cancel_call>,Call Agent,
*,"<cancel_call> Sorry, I didn't get that.",Call Agent,
reset first boot experience,<set_first_boot>,*,Tutorial Start
*,"Welcome Explorer! I'm Chloe, your Aira AI assistant. I have three tips to share with you to help you get started. The screen on the phone you're holding is disabled to create a voice first experience. To talk to me, you can hold down on the call button located below the screen, and say things like, ""how do I use Horizon?"" or ""what can you do?"" Would you like me to repeat that or continue?",Tutorial Start,Tutorial Setup
,"Welcome Explorer! I'm Chloe, your Aira AI assistant. I have three tips to share with you to help you get started. The screen on the phone you're holding is disabled to create a voice first experience. To talk to me, you can hold down on the call button located below the screen, and say things like, ""how do I use Horizon?"" or ""what can you do?"" Would you like me to repeat that or continue?",Tutorial Start,Tutorial Setup
* continue|next *,"To call an agent, make sure that you've used the braided tether cord to connect the Horizon glasses to the Horizon phone. Then, you can either double press on the call button to call an agent, or hold down on the call button and say, ""call an agent."" Would you like me to repeat that or continue to my last tip?",Tutorial Setup,Tutorial Last Tip
*,"Sorry, I didn't get that. Would you like me to repeat that or continue?",Tutorial Setup,Tutorial Setup
* repeat *,"Sure. The screen on the phone you're holding is disabled to create a voice first experience. To talk to me, you can hold down on the call button located below the screen, and say things like, ""how do I use Horizon?"" or ""what can you do?"" Would you like me to repeat that or continue?",Tutorial Setup,Tutorial Setup
* again *,"Sure. The screen on the phone you're holding is disabled to create a voice first experience. To talk to me, you can hold down on the call button located below the screen, and say things like, ""how do I use Horizon?"" or ""what can you do?"" Would you like me to repeat that or continue?",Tutorial Setup,Tutorial Setup
* one more time *,"Sure. The screen on the phone you're holding is disabled to create a voice first experience. To talk to me, you can hold down on the call button located below the screen, and say things like, ""how do I use Horizon?"" or ""what can you do?"" Would you like me to repeat that or continue?",Tutorial Setup,Tutorial Setup
* continue|next *,"For more details about Horizon, please read the Quick Start Guide in your welcome email, it includes tips such as turning on privacy mode during a call by pressing on the call button once. Would you like me to repeat that?",Tutorial Last Tip,Tutorial Done
*,"Sorry, I didn't get that. Would you like me to repeat that or continue to my last tip?",Tutorial Last Tip,Tutorial Last Tip
* repeat *,"Sure. To call an agent, make sure that you've used the braided tether cord to connect the Horizon glasses to the Horizon phone. Then, you can either double press on the call button to call an agent, or hold down on the call button and say, ""call an agent."" Would you like me to repeat that or continue to my last tip?",Tutorial Last Tip,Tutorial Last Tip
* again *,"Sure. To call an agent, make sure that you've used the braided tether cord to connect the Horizon glasses to the Horizon phone. Then, you can either double press on the call button to call an agent, or hold down on the call button and say, ""call an agent."" Would you like me to repeat that or continue to my last tip?",Tutorial Last Tip,Tutorial Last Tip
* one more time *,"Sure. To call an agent, make sure that you've used the braided tether cord to connect the Horizon glasses to the Horizon phone. Then, you can either double press on the call button to call an agent, or hold down on the call button and say, ""call an agent."" Would you like me to repeat that or continue to my last tip?",Tutorial Last Tip,Tutorial Last Tip
* no|skip|nah|nope|naw|dont *,Wonderful! Thank you for taking the time to talk to me today and I can't wait to see what's on the horizon for you.,Tutorial Done,
* no thanks|thank *,Wonderful! Thank you for taking the time to talk to me today and I can't wait to see what's on the horizon for you.,Tutorial Done,
Im good,Wonderful! Thank you for taking the time to talk to me today and I can't wait to see what's on the horizon for you.,Tutorial Done,
* continue|next *,Wonderful! Thank you for taking the time to talk to me today and I can't wait to see what's on the horizon for you.,Tutorial Done,
*,"Sorry, I wish I could understand that. It was probably something really nice.",Tutorial Done,
Thanks,You got it,Tutorial Done,
Thank you,It was my pleasure,Tutorial Done,
yes|yup|yep|yea|yeah|mhm|sure|okay|kay|k,"Sure. For more details about Horizon, please read the Quick Start Guide in your welcome email, it includes tips such as turning on privacy mode during a call by pressing on the call button once. Would you like me to repeat that?",Tutorial Done,Tutorial Done
* repeat *,"Sure. For more details about Horizon, please read the Quick Start Guide in your welcome email, it includes tips such as turning on privacy mode during a call by pressing on the call button once. Would you like me to repeat that?",Tutorial Done,Tutorial Done
* again *,"Sure. For more details about Horizon, please read the Quick Start Guide in your welcome email, it includes tips such as turning on privacy mode during a call by pressing on the call button once. Would you like me to repeat that?",Tutorial Done,Tutorial Done
* one more time *,"Sure. For more details about Horizon, please read the Quick Start Guide in your welcome email, it includes tips such as turning on privacy mode during a call by pressing on the call button once. Would you like me to repeat that?",Tutorial Done,Tutorial Done
cancel|stop|done|exit|leave|goodbye|bye|enough|stop,OK. You can always hold down on the call button and ask me how to use the Horizon phone.,Tutorial *,
give|tell me a joke,"I own the world's worst thesaurus. Not only is it awful, it's awful.",,
give|tell me a joke,"Hypochondriacs always take things, literally.",,
give|tell me a joke,"I was going to tell a time traveling joke, but you didn't like it.",,
give|tell me a joke,"If your parachute doesn't deploy, you have the rest of your life to fix it.",,
give|tell me a joke,I just invented a new word: plagiarism.,,
give|tell me a joke,"Rest in peace, boiling water. You will be mist.",,
give|tell me a joke,I wonder if the guy who came up with the term 'One Hit Wonder' came up with any other phrases.,,
give|tell me a joke,"With the rise of self-driving vehicles, it’s only a matter of time before we get a country song where a guy’s truck leaves him too.",,
are you there,"Yes, I'm here for you.",,
stop,<stop>,,
? read document ? high quality ? ?,<ms_ocr>,,
? read ? ? continuous ? ?,<continuous_ocr>,,
? read ? document,<google_ocr>,,
read this,<google_ocr>,,
read this document,<google_ocr>,,
? read this ?,<google_ocr>,,
read now,<abby_ocr>,,
where ? ? ? pill|pills|bottle|bottles|medicine|meds,<pill_ocr_position>,,
? ? read ? ? pill|pills|bottle|bottles|medicine|meds|label ? ?,<pill_ocr>,,
what ? ? ? pill|pills|bottle|bottles|medicine|meds ?,<pill_ocr>,,
detect pill|bottle,<pill_ocr_detection>,,
what time is it|now ?,"It is {{now ""pattern""  ""hh:mm, z""}}",,
what date|day is it|today ?,"Today is {{now ""full""}}",,
what is the time,"It is {{now ""pattern""  ""hh:mm, z""}}",,
what is the time ? now|today,"It is {{now ""pattern""  ""hh:mm, z""}}",,
what is the time of the day,"It is {{now ""pattern""  ""hh:mm, z""}}",,
what ? ? time ? ? ?,"It is {{now ""pattern""  ""hh:mm, z""}}",,
? tell me what|the ? ? time ? ?,"It is {{now ""pattern""  ""hh:mm, z""}}",,
time,"It is {{now ""pattern""  ""hh:mm, z""}}",,
do you have the time,"It is {{now ""pattern""  ""hh:mm, z""}}",,
what day is today,"Today is {{now ""full""}}",,
what ? ? day|date,"Today is {{now ""full""}}",,
what ? ? today,"Today is {{now ""full""}}",,
day|date,"Today is {{now ""full""}}",,
turn ? ? flashlight ? ? on,<flashlight_on>,,
turn ? ? on ? ? flashlight,<flashlight_on>,,
turn ? ? flashlight ? ? off,<flashlight_off>,,
turn ? ? off ? ? flashlight,<flashlight_off>,,
is ? ? flashlight ? ? on|off|power|powered|deactivated|activated,flashlight is {{onoff flashlight_state}},,
what is the flashlight status|state|power|powered,flashlight is {{onoff flashlight_state}},,
? ? plan|minutes ? ?,<account_usage>,,
? ? plan|minutes ? ?,<account_usage>,,
? ? agent ? plan|minutes|minute ? ?,<account_usage>,,
how many agent call minutes|minute|time|hours do I have this month,<account_usage>,,
how many ? call minutes|minute|time|hours do I have left ? ?,<account_usage>,,
how much time|minutes|minute|hour|agent|call|calls do I have left ? ?,<account_usage>,,
how many minutes do I have left on my account,<account_usage>,,
what is my account balance,<account_usage>,,
? account balance ?,<account_usage>,,
? account ? remaining ?,<account_usage>,,
how many minutes do I have left|remaining|month,<account_usage>,,
what minutes do I have left|remaining|month,<account_usage>,,
how ? ? ? minute|minutes ? ? ? ?,<account_usage>,,
how many minute|minutes ? ? ? ?,<account_usage>,,
what version are we on,My version is {{version}},,
what version are you,My version is {{version}},,
what version ? ?,My version is {{version}},,
version,My version is {{version}},,
chloe version,My version is {{version}},,
version number,My version is {{version}},,
chloe version number,My version is {{version}},,
? on airplane ?,<airplane_on>,,
? off airplane ?,<airplane_off>,,
turn on video correction,<turn_on_video_correction>,,
turn off video correction,<turn_off_video_correction>,,
turn on image correction,<turn_on_image_correction>,,
turn off image correction,<turn_off_image_correction>,,
switch to the phone camera,<use_phone_camera>,,
switch to the horizon phone camera,<use_horizon_camera>,,
