turn on ? wifi|wireless ?,"<wifi_on>",,
turn on ? wife i ?,"<wifi_on>",,
turn on ? wi fi ?,"<wifi_on>",,
enable ? wifi|wireless ?,"<wifi_on>",,
enable ? wife i ?,"<wifi_on>",,
enable ? wi fi ?,"<wifi_on>",,
wireless|wifi turned on,"<wifi_on>",,
wife i turned on,"<wifi_on>",,
wi fi turned on,"<wifi_on>",,
wireless|wifi enabled,"<wifi_on>",,
wife i enabled,"<wifi_on>",,
wi fi enabled,"<wifi_on>",,
turn off ? wifi|wireless ?,"<wifi_off>",,
turn off ? wife i ?,"<wifi_off>",,
turn off ? wi fi ?,"<wifi_off>",,
disable ? wifi|wireless ?,"<wifi_off>",,
disable ? wife i ?,"<wifi_off>",,
disable ? wi fi ?,"<wifi_off>",,
wireless|wifi turned off,"<wifi_off>",,
wife i turned off,"<wifi_off>",,
wi fi turned off,"<wifi_off>",,
wireless|wifi disabled,"<wifi_off>",,
wife i disabled,"<wifi_off>",,
wi fi disabled,"<wifi_off>",,
